"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M1,M2,M4,M3";"MountingHole_3.2mm_M3_DIN965";4;"MountingHole_3.2mm_M3_DIN965";;;
2;"REF**,REF**";"Symbol_HighVoltage_Type2_CopperTop_VerySmall";2;"Symbol_HighVoltage_Type2_CopperTop_VerySmall";;;
3;"AFF1,AFF2,AFF3,AFF4";"7SegmentLED_LTS6760_LTS6780";4;"LTS-6960HR";;;
4;"C1,C3";"CP_Elec_6.3x5.3";2;"10uF";;;
5;"C2,C4";"C_1206_HandSoldering";2;"22uF";;;
6;"CON1";"ADC-002";1;"DC-005";;;
7;"D1";"D_MELF_Handsoldering";1;"12V";;;
8;"D2";"D_MELF_Handsoldering";1;"5.1V";;;
9;"D3";"LED_1206_HandSoldering";1;"Power";;;
10;"D4";"LED_1206_HandSoldering";1;"Pickup";;;
11;"F1";"Fuse_TE5_Littlefuse-395Series";1;"1A";;;
12;"F2";"Fuse_SMD1206_HandSoldering";1;"2A 16V";;;
13;"F3";"Fuseholder5x20_horiz_open_inline_Type-I";1;"1000mA";;;
14;"F4";"R_0603_HandSoldering";1;"500mA";;;
15;"F5";"Fuse_TE5_Littlefuse-395Series";1;"500mA";;;
16;"P1,P2";"Male_Terminal_Spade_Connector_6.3_Wide_5.08mm_Pins";2;"CONN_01X01";;;
17;"P3,P4";"Pin_Header_Straight_1x02_Pitch2.54mm";2;"CONN_01X02";;;
18;"RP1";"R_Array_Convex_4x0603";1;"150";;;
19;"RP2";"R_Array_Convex_4x0603";1;"10K";;;
20;"RP3,RP4";"R_Array_Convex_4x0603";2;"91";;;
21;"TH1";"RV_Disc_D7_W5.1_P5";1;"NTC 5D-7";;;
22;"U2";"SOT-223-3_TabPin2";1;"LM1117-5.0";;;
23;"U5";"SO-16-W";1;"PCF8574";;;
24;"VR1";"VARISTOR_MCIGICM_14D241K_240V";1;"14D241K 240V";;;
25;"IC1";"pro_mini";1;"ArduinoProMini";;;
26;"U3";"TSP";1;"TSP-05";;;
27;"P7";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"CONN_01X03";;;
28;"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12";"SOT-23";12;"MMBT3906";;;
29;"RP5,RP6";"R_Array_Convex_4x0603";2;"100";;;
30;"RP7";"R_Array_Convex_4x0603";1;"510";;;
31;"W1,W2,W3";"Test_Point_2Pads";3;"TEST";;;
32;"REF***";"KiCad-Logo_6mm_SilkScreen";1;"KiCad-Logo_6mm_SilkScreen";;;
33;"REF**";"Symbol_Barrel_Polarity";1;"Symbol_Barrel_Polarity";;;
34;"REF***,REF***";"OSHW-Symbol_6.7x6mm_SilkScreen";2;"OSHW-Symbol_6.7x6mm_SilkScreen";;;
35;"REF***";"ESD-Logo_6.6x6mm_SilkScreen";1;"ESD-Logo_6.6x6mm_SilkScreen";;;
36;"REF***,REF***";"WEEE-Logo_4.2x6mm_SilkScreen";2;"WEEE-Logo_4.2x6mm_SilkScreen";;;
